GaiaDR3_ID,cluster,subgroup,fiducial_age_Myr,Prot,BPRP_0,G_0,e_BPRP_0,dr3_parallax_zpt_corrected,dr3_ruwe,mem_prob_hdbscan,cmd_exclude,dered_exclude,phot_exclude,phot_bp_rp_excess_factor,astrometric_excess_noise_sig,phot_bp_rp_excess_factor_t,astrometric_excess_noise_sig_t,noise_sig_detected,spec_coverage,e_Prot_true,e_Prot_imputed,mem_prob_source
3426307072307032192,M35,M35,188.0,6.805,1.0492517829840726,15.49805619800105,0.0224563976935009,1.2021133164263955,1.0115751,0.831,0,0,0,1.2411321,0.0,0.2160239793288723,0.0,0,gsp_only,,0.1544349167457227,0.831
3426308167522156672,M35,M35,188.0,5.919,1.0497966923693922,15.269146695591887,0.0192218328808346,1.2103022223446267,0.9021773,0.847,0,0,0,1.2426171,0.0,0.2172197443882133,0.0,0,gsp_only,,0.1219778129481955,0.847
3451012200933385088,M37,M37,446.0,13.265302,1.7340521805338718,18.78132513569304,0.0688376216862726,0.897568968545002,1.0266399,0.233,0,0,0,1.3534057,0.0,0.3026241667924709,0.0,0,none,,0.4775994009459317,0.233
3451173313745059328,M37,M37,446.0,11.55968,1.3694035121780446,17.64240249832561,0.0410066112190538,0.6646042742884525,0.99253285,0.552,0,0,0,1.2492332,0.0,0.2225299597851113,0.0,0,gsp_only,,0.3784134344029911,0.552
3451173318040777216,M37,M37,446.0,0.85106,1.94685802346322,18.986342924969687,0.1066411223130613,0.5934043447452245,0.98282504,0.326,0,0,0,1.3068651,0.0,0.2676312128590653,0.0,0,none,,0.0045881187188636,0.326
3451175306609034112,M37,M37,446.0,13.758116,2.0133514414894105,19.43729420105361,0.1837784003721155,0.9885410086793756,1.0747392,0.163,0,0,0,1.4035581,0.909966,0.3390105374316047,0.647085428237915,1,none,,0.5079940628263623,0.163
3451176199962277504,M37,M37,446.0,3.608294,1.6922882256895986,18.496811331886423,0.0892995223647789,0.6911235280181278,1.0692822,0.531,0,0,0,1.2473309,1.4537497,0.2210059915658771,0.8976173400878906,1,none,,0.052810522092555,0.531
3451178055388100096,M37,M37,446.0,9.973653,1.298318587020578,17.241024473751178,0.0246208636917637,0.5055071236105964,1.0135278,0.3,0,0,0,1.2743639,0.0,0.2424471328443112,0.0,0,gsp_only,,0.2948234919440579,0.3
3451178368924004224,M37,M37,446.0,2.113111,1.744401756350653,19.77759949724132,0.1460997872752548,0.8462119670579051,1.0023683,0.216,0,0,0,1.5753174,0.30991292,0.4544567648734252,0.2699606716632843,1,none,,0.0213635586091677,0.216
3451181147765791104,M37,M37,446.0,2.264993,1.7381016610094668,18.84999880662584,0.1102408057476127,0.1702576493891472,1.0653749,,0,0,0,1.3176877,1.4079319,0.2758784959201571,0.878768265247345,1,none,,0.024024817318393,0.965
3451181220780481664,M37,M37,446.0,13.564457,1.844483845748671,18.644813742604605,0.1072789160038752,0.0314244678206333,0.9645539,,0,0,0,1.235355,0.0,0.2113583940081036,0.0,0,none,,0.4959586185323317,0.5
3451181594442326016,M37,M37,446.0,1.171808,1.5761620460438968,17.73053593154633,0.2462757439754686,0.6451404154181664,0.9643486,,0,0,0,1.311625,0.0,0.2712668294043129,0.0,0,gsp_only,,0.0078806821969921,0.5
3451182011058330496,M37,M37,446.0,9.62054,1.228687038543714,17.232459067338958,0.1423824250628977,0.8731888606068683,1.0104963,0.404,0,0,0,1.2689568,0.0,0.2381951301803614,0.0,0,gsp_only,,0.277385368430822,0.404
3451185064775598336,M37,M37,446.0,7.249382,1.0047536104762569,16.456969456333578,0.0199859987261303,0.7639802854398764,1.1250803,0.694,0,0,0,1.2462641,2.979013,0.2201503562317281,1.3810337781906128,1,gsp_only,,0.1718751484399953,0.694
3451193899522996736,M37,M37,446.0,4.123465,1.7842073985087152,19.342494768095342,0.1327964671444482,1.0184322610411956,1.0560852,0.146,0,0,0,1.3738582,1.3514693,0.317622995916984,0.8550403714179993,1,none,,0.0661842536221428,0.146
3451198052757590144,M37,M37,446.0,9.227855,1.9024347294668849,19.720594921669186,0.2410213049060228,1.2489903635763593,1.1045593,,0,0,0,1.445822,2.971828,0.3686780183057035,1.3792264461517334,1,none,,0.2585064766027247,0.71
3451200908910339712,M37,M37,446.0,15.053045,1.9202957040146147,19.121725890720413,0.1360412611526128,1.3807002585763952,1.1049641,,0,0,0,1.3912331,3.3310487,0.3301904665425247,1.46580970287323,1,none,,0.1505304499999999,0.5
3451202347734370304,M37,M37,446.0,9.7001,1.3540294810191584,17.540757363254517,0.1118785713485879,0.8295899826929587,1.0383761,0.476,0,0,0,1.2826983,0.952506,0.2489658854575969,0.6691136956214905,1,gsp_only,,0.2812763929789395,0.476
3451205169521658112,M37,M37,446.0,8.119838,1.0487630460438966,16.451685931546333,0.0498943291195215,0.5942713694860636,0.9459573,0.415,0,0,0,1.255213,0.0,0.2273052970100651,0.0,0,gsp_only,,0.208213273717882,0.415
3451206608330908288,M37,M37,446.0,12.437816,1.8466793194168225,18.940363347990004,0.1093842324865867,1.1123989337640037,0.9956954,0.184,0,0,0,1.3224972,0.2229824,0.2795218043319697,0.2012924700975418,1,none,,0.4283021136997065,0.184
3451206745769860224,M37,M37,446.0,14.328401,1.8765845598881048,18.551875085597374,0.0808175058290467,0.7569712178887802,1.0278335,0.783,0,0,0,1.2892493,0.0,0.2540601117395356,0.0,0,none,,0.14328401,0.783
3451206956225923072,M37,M37,446.0,0.770531,1.925996864383847,19.70466390314493,0.176967014839275,0.768957410631923,1.0447607,0.532,0,0,0,1.6402645,0.41772327,0.4948575160919337,0.3490522503852844,1,none,,0.0038780803420634,0.532
4084617394338908672,Ruprecht147,Ruprecht147,2454.0,22.538,2.04337659023673,15.66080092759511,0.0159060895579937,3.653990565201128,1.0029255,,0,0,0,1.3490298,1.4246516e-15,0.2993856521741107,1.424651607283083e-15,0,gsp_only,,0.22538,0.995
40470720915966208,Hyades,Hyades,775.0,6.04,2.8418102,12.939815,0.0146394423688575,22.77445368750854,3.0967972,,0,0,0,1.4776843,253.61465,0.3904761727861757,5.539751052856445,1,rv_only,,0.126225144919809,0.9
4084751706554608000,Ruprecht147,Ruprecht147,2454.0,25.2252,1.2870783347314687,13.913695219862296,0.0181734986260525,3.262282898390032,0.8932849,0.466,0,0,0,1.3706847,0.0,0.315310427331319,0.0,0,both,,0.252252,0.466
4088057521393630848,Ruprecht147,Ruprecht147,2454.0,16.54405,0.805317978234562,11.96598249004133,0.0158359718077938,3.3028330376443105,0.9675969,1.0,0,0,0,1.2065678,2.8542457,0.1877797705083728,1.3491753339767456,1,both,,0.1654405,1.0
4088073876634320768,Ruprecht147,Ruprecht147,2454.0,5.55792,0.6590922744090313,10.807247461038076,0.0159511489809053,3.222340455100961,0.9199982,0.692,0,0,0,1.1980355,13.8786745,0.1806831141060979,2.699928998947144,1,gsp_only,,0.1096590930103555,0.692
4088124114881222528,Ruprecht147,Ruprecht147,2454.0,0.104,2.5600098821645405,17.269868331786498,0.0341261997560637,3.429738059653984,1.098297,0.795,0,0,0,1.4595033,2.2088437,0.3780961675872633,1.165910720825195,1,gsp_only,,0.0001310720796167,0.795
4183867079159884672,Ruprecht147,Ruprecht147,2454.0,19.2187,1.7697252371606915,15.165473220871151,0.0157870264189237,3.3177779609030043,1.0291002,0.997,0,0,0,1.3137385,0.0,0.2728768631964686,0.0,0,gsp_only,,0.192187,0.997
435320915712179840,APer,APer,68.0,0.396,2.1948074200153767,14.586748078431311,0.018622303443237,5.75254882984438,1.0470722,1.0,0,0,0,1.3926959,0.6325996,0.3312413678634764,0.4901735782623291,1,both,0.0011134392861111,0.0012578870251144,1.0
435366236206515200,APer,APer,68.0,0.185,2.8682678327761346,16.020198238887097,0.0236601514359432,5.966389557360176,1.0190814,1.0,0,0,0,1.4971119,0.2844358,0.4035378631921945,0.2503195703029632,1,gsp_only,0.000817329822786,0.0003472116282378,1.0
435447840586828800,APer,APer,68.0,0.464,2.835312777164823,16.139098734099385,0.0226169308173408,5.83032298067604,1.0314877,1.0,0,0,0,1.481463,0.9151843,0.3930300829769445,0.6498138904571533,1,gsp_only,0.0011679678669969,0.0016445554159178,1.0
435701003137104896,APer,APer,68.0,3.073,2.446903384973244,14.892455524803603,0.0254076069194937,6.725420025519694,1.1314136,,0,0,0,1.425063,1.7924185,0.3542160331151722,1.026908040046692,1,gsp_only,0.0417608286421625,0.0402497617890171,0.849
439722604355413504,APer,APer,68.0,0.684,2.8293772768650904,16.42276631972532,0.0251976530909437,5.8534493531946605,1.0477558,0.888,0,0,0,1.4778965,1.4278919,0.3906197604980247,0.8870233297348022,1,gsp_only,0.002707685876883,0.0031703987671805,0.888
441430214633926272,APer,APer,68.0,0.642,1.5976227395706049,13.474960076322535,0.0212972710576767,5.685833689681896,1.0788862,1.0,0,0,0,1.296691,0.0,0.2598155892422384,0.0,0,both,0.0019848750701117,0.0028481623847325,1.0
441493780152662144,APer,APer,68.0,0.678,0.6666109875768278,10.02247763328842,0.0218854248503164,5.640292364504027,1.069998,1.0,0,0,0,1.1962888,32.214306,0.179224118080885,3.502980709075928,1,both,0.0026625269894063,0.0031235028331568,1.0
441640668031763584,APer,APer,68.0,1.412,2.812852172648536,16.1568145741397,0.0277869090562078,5.668260818095233,0.98817056,1.0,0,0,0,1.4785092,2.297759e-15,0.3910342744935651,2.2977589815109493e-15,0,gsp_only,0.0096414382080894,0.0108026525026207,1.0
441662349026548224,APer,APer,68.0,4.34,0.9276131841291364,11.582669440866558,0.0166789375057244,5.77499343246632,1.0388507,1.0,0,0,0,1.215838,11.450724,0.1954335143637476,2.5217788219451904,1,both,0.0659928378019792,0.0721689070916062,1.0
439807709128929536,APer,APer,68.0,0.969,2.828385584057344,16.28499258092311,0.0281517374656917,5.877860867527174,0.9796963,0.988,0,0,0,1.4982139,2.0619274e-15,0.4042736567549126,2.061927433061697e-15,0,gsp_only,0.0049038117504287,0.0057143657815191,0.988
441430111554726784,APer,APer,68.0,4.025,0.944647895428598,11.581859895382964,0.0201650143821318,5.632852449640464,0.98131496,1.0,0,0,0,1.2195389,8.994612,0.1984728586877567,2.302046060562134,1,both,0.0683819166003758,0.0635332420194213,1.0
441573048067694592,APer,APer,68.0,6.692,2.1681987261249587,14.722023705841629,0.0177503745617414,5.7878025131979065,1.0402274,1.0,0,0,0,1.3799039,0.34961715,0.3220138681538076,0.2998209595680237,1,both,0.1901187080634017,0.1501223326059125,1.0
441650563636259968,APer,APer,68.0,0.246,2.212813231944556,14.716517929308122,0.0217094257013538,5.521200940795811,1.0121843,1.0,0,0,0,1.3896291,0.0,0.3290368954222086,0.0,0,both,,0.0005622476386634,1.0
441726842254931712,APer,APer,68.0,0.631,2.933777895593237,16.756734951629696,0.0233914322434179,5.686966686761825,1.0681382,1.0,0,0,0,1.4896272,1.2507316,0.3985259155637702,0.8112553358078003,1,none,0.003314470330601,0.0027661113471117,1.0
441774911528969088,APer,APer,68.0,3.008,2.344580261095332,14.987748832939994,0.0191660423334526,5.82252942727767,1.0398072,1.0,0,0,0,1.4148947,0.26832664,0.3470551114005793,0.237698420882225,1,both,0.039562975154913,0.0388203212430538,1.0
443462868035060352,APer,APer,68.0,0.355,2.9715414498831567,16.2826177262901,0.0320069433557008,5.968184764069608,1.008265,1.0,0,0,0,1.5072682,0.4529539,0.4102988669056369,0.3735986649990082,1,gsp_only,0.0009403873897172,0.001045577517714,1.0
445997860812376704,APer,APer,68.0,3.671,1.147633953160663,12.369265596231871,0.0239907774584909,5.511441929695511,1.0271351,0.743,0,0,0,1.2478813,4.806897,0.221447147872645,1.7590463161468506,1,both,0.0477823771343358,0.0543721251616505,0.743
458360490378051456,HPer,HPer,15.0,8.06,1.562497692087793,18.26040686309266,0.062714278238287,0.8819155645682011,1.0163918,,0,0,0,1.3309636,0.10143688,0.2859031998978433,0.096615582704544,1,none,,0.2056246091114562,0.84
458361628557039488,HPer,HPer,15.0,0.149,0.9052323268617628,15.637021251317025,0.1347045856130966,0.3057735737294326,1.1852727,,0,0,0,1.2764034,5.373888,0.2440463004105306,1.8522096872329712,1,gsp_only,,0.0002407837946084,0.9
458362070926118528,HPer,HPer,15.0,6.94,1.7024657784538877,18.85374824915283,0.3556539813624082,0.0695392293085273,1.0130621,,0,0,0,1.400133,0.3447005,0.3365672419118393,0.2961713075637817,1,none,,0.1596523841199151,0.84
458367572788145792,HPer,HPer,15.0,6.58,1.4666417695862486,19.73651916659455,0.1656155879466204,-0.2613398485943959,1.1201077,,0,0,0,1.6873401,1.2574553,0.5231534076284587,0.8142382502555847,1,none,,0.1458973072622486,0.84
458368156907369088,HPer,HPer,15.0,3.8,1.0210863191328048,15.99267183848858,0.0405403074269601,0.5841824768266766,0.9866261,0.332,0,0,0,1.2674723,1.9683267e-15,0.2370245762839725,1.9683266925000706e-15,0,gsp_only,,0.0576429203575677,0.332
458368290041648768,HPer,HPer,15.0,10.5,1.8608594067154405,18.810295812829256,0.1746130850174735,0.7179299894330847,1.100037,,0,0,0,1.319483,2.9203656,0.2772400248614546,1.366184949874878,1,none,,0.3216174323843434,0.84
458369393858014208,HPer,HPer,15.0,1.19,1.158274701648098,16.6425360138023,0.0276361386966778,0.3400782976741425,0.94799274,0.465,0,0,0,1.2817571,0.0,0.2482318836988323,0.0,0,gsp_only,,0.0080887261165764,0.465
458370596445491584,HPer,HPer,15.0,3.79,1.301381198110676,19.98022663779497,0.1664990023108502,0.9609409999865308,0.9449748,,0,0,0,1.82373,0.63002574,0.6008838499449684,0.4885958135128021,1,none,,0.057386582161161,0.7
